000001	XEROX CORPORATION 
000E3F	Soronti, Inc. 
000E40	Nortel Networks 
000E41	NIHON MECHATRONICS CO.,LTD. 
000E42	Motic Incoporation Ltd. 
000E43	G-Tek Electronics Sdn. Bhd. 
000E44	Digital 5, Inc. 
000E45	Beijing Newtry Electronic Technology Ltd 
000E46	Niigata Seimitsu Co.,Ltd. 
000E47	NCI System Co.,Ltd. 
000E48	Lipman TransAction Solutions 
000E49	Forsway Scandinavia AB 
000E4A	Changchun Huayu WEBPAD Co.,LTD 
000E4B	atrium c and i 
000E4C	Bermai Inc. 
000E4D	Numesa Inc. 
000E4E	Waveplus Technology Co., Ltd. 
000E4F	Trajet GmbH 
000E50	Thomson Telecom Belgium 
000E51	tecna elettronica srl 
000E52	Optium Corporation 
000E53	AV TECH CORPORATION 
000E54	AlphaCell Wireless Ltd. 
000E55	AUVITRAN 
000E56	4G Systems GmbH  Co. KG 
000E57	Iworld Networking, Inc. 
000E58	Sonos, Inc. 
000E59	Sagemcom Broadband SAS 
000E5A	TELEFIELD inc. 
000E5B	ParkerVision - Direct2Data 
000E5C	ARRIS Group, Inc. 
000E5D	Triple Play Technologies AS 
000E5E	Raisecom Technology 
000E5F	activ-net GmbH  Co. KG 
000E60	360SUN Digital Broadband Corporation 
000E61	MICROTROL LIMITED 
000E62	Nortel Networks 
000E63	Lemke Diagnostics GmbH 
000E64	Elphel, Inc 
000E65	TransCore 
000E66	Hitachi Industry  Control Solutions, Ltd. 
000E67	Eltis Microelectronics Ltd. 
000E68	E-TOP Network Technology Inc. 
000E69	China Electric Power Research Institute 
000E6A	3Com Ltd 
000E6B	Janitza electronics GmbH 
000E6C	Device Drivers Limited 
000E6D	Murata Manufacturing Co., Ltd. 
000E6E	MAT S.A. (Mircrelec Advanced Technology) 
000E6F	IRIS Corporation Berhad 
000E70	in2 Networks 
000E71	Gemstar Technology Development Ltd. 
000E72	CTS electronics 
000E73	Tpack AS 
000E74	Solar Telecom. Tech 
000E75	New York Air Brake Corp. 
000E76	GEMSOC INNOVISION INC. 
000E77	Decru, Inc. 
000E78	Amtelco 
000E79	Ample Communications Inc. 
000E7A	GemWon Communications Co., Ltd. 
000E7B	Toshiba 
000E7C	Televes S.A. 
000E7D	Electronics Line 3000 Ltd. 
000E7E	ionSign Oy 
000E7F	Hewlett Packard 
000E80	Thomson Technology Inc 
000E81	Devicescape Software, Inc. 
000E82	Commtech Wireless 
000E83	Cisco Systems, Inc 
000E84	Cisco Systems, Inc 
000E85	Catalyst Enterprises, Inc. 
000E86	Alcatel North America 
000E87	adp Gauselmann GmbH 
000E88	VIDEOTRON CORP. 
000E89	CLEMATIC 
000E8A	Avara Technologies Pty. Ltd. 
000E8B	Astarte Technology Co, Ltd. 
000E8C	Siemens AG AD ET 
000E8D	Systems in Progress Holding GmbH 
000E8E	SparkLAN Communications, Inc. 
000E8F	Sercomm Corp. 
000E90	PONICO CORP. 
000E91	Navico Auckland Ltd 
000E92	Open Telecom 
000E93	Milénio 3 Sistemas Electrónicos, Lda. 
000E94	Maas International BV 
000E95	Fujiya Denki Seisakusho Co.,Ltd. 
000E96	Cubic Defense Applications, Inc. 
000E97	Ultracker Technology CO., Inc 
000E98	HME Clear-Com LTD. 
000E99	Spectrum Digital, Inc 
000E9A	BOE TECHNOLOGY GROUP CO.,LTD 
000E9B	Ambit Microsystems Corporation 
000E9C	Benchmark Electronics 
000E9D	Tiscali UK Ltd 
000E9E	Topfield Co., Ltd 
000E9F	TEMIC SDS GmbH 
000EA0	NetKlass Technology Inc. 
000EA1	Formosa Teletek Corporation 
000EA2	McAfee, Inc 
000EA3	CNCR-IT CO.,LTD,HangZhou P.R.CHINA 
000EA4	Certance Inc. 
000EA5	BLIP Systems 
000EA6	ASUSTek COMPUTER INC. 
000EA7	Endace Technology 
000EA8	United Technologists Europe Limited 
000EA9	Shanghai Xun Shi Communications Equipment Ltd. Co. 
000EAA	Scalent Systems, Inc. 
000EAB	Cray Inc 
000EAC	MINTRON ENTERPRISE CO., LTD. 
000EAD	Metanoia Technologies, Inc. 
000EAE	GAWELL TECHNOLOGIES CORP. 
000EAF	CASTEL 
000EB0	Solutions Radio BV 
000EB1	Newcotech,Ltd 
000EB2	Micro-Research Finland Oy 
000EB3	Hewlett Packard 
000EB4	GUANGZHOU GAOKE COMMUNICATIONS TECHNOLOGY CO.LTD. 
000EB5	Ecastle Electronics Co., Ltd. 
000EB6	Riverbed Technology, Inc. 
000EB7	Knovative, Inc. 
000EB8	Iiga co.,Ltd 
000EB9	HASHIMOTO Electronics Industry Co.,Ltd. 
000EBA	HANMI SEMICONDUCTOR CO., LTD. 
000EBB	Everbee Networks 
000EBC	Paragon Fidelity GmbH 
000EBD	Burdick, a Quinton Compny 
000EBE	BB Electronics Manufacturing Co. 
000EBF	Remsdaq Limited 
000EC0	Nortel Networks 
000EC1	MYNAH Technologies 
000EC2	Lowrance Electronics, Inc. 
000EC3	Logic Controls, Inc. 
000EC4	Iskra Transmission d.d. 
000EC5	Digital Multitools Inc 
000EC6	ASIX ELECTRONICS CORP. 
000EC7	Motorola Korea 
000EC8	Zoran Corporation 
000EC9	YOKO Technology Corp. 
000ECA	WTSS Inc 
000ECB	VineSys Technology 
000ECC	Tableau, LLC 
000ECD	SKOV AS 
000ECE	S.I.T.T.I. S.p.A. 
000ECF	PROFIBUS Nutzerorganisation e.V. 
000ED0	Privaris, Inc. 
000ED1	Osaka Micro Computer. 
000ED2	Filtronic plc 
000ED3	Epicenter, Inc. 
000ED4	CRESITT INDUSTRIE 
000ED5	COPAN Systems Inc. 
000ED6	Cisco Systems, Inc 
000ED7	Cisco Systems, Inc 
000ED8	Positron Access Solutions Corp 
000ED9	Aksys, Ltd. 
000EDA	C-TECH UNITED CORP. 
000EDB	XiNCOM Corp. 
000EDC	Tellion INC. 
000EDD	SHURE INCORPORATED 
000EDE	REMEC, Inc. 
000EDF	PLX Technology 
000EE0	Mcharge 
000EE1	ExtremeSpeed Inc. 
000EE2	Custom Engineering 
000EE3	Chiyu Technology Co.,Ltd 
000EE4	BOE TECHNOLOGY GROUP CO.,LTD 
000EE5	bitWallet, Inc. 
000EE6	Adimos Systems LTD 
000EE7	AAC ELECTRONICS CORP. 
000EE8	zioncom 
000EE9	WayTech Development, Inc. 
000EEA	Shadong Luneng Jicheng Electronics,Co.,Ltd 
000EEB	Sandmartin(zhong shan)Electronics Co.,Ltd 
000EEC	Orban 
000EED	Nokia Danmark AS 
000EEE	Muco Industrie BV 
000EEF	Private 
000EF0	Festo AG  Co. KG 
000EF1	EZQUEST INC. 
000EF2	Infinico Corporation 
000EF3	Smarthome 
000EF4	Kasda Networks Inc 
000EF5	iPAC Technology Co., Ltd. 
000EF6	E-TEN Information Systems Co., Ltd. 
000EF7	Vulcan Portals Inc 
000EF8	SBC ASI 
000EF9	REA Elektronik GmbH 
000EFA	Optoway Technology Incorporation 
000EFB	Macey Enterprises 
000EFC	JTAG Technologies B.V. 
000EFD	FUJINON CORPORATION 
000EFE	EndRun Technologies LLC 
000EFF	Megasolution,Inc. 
000F00	Legra Systems, Inc. 
000F01	DIGITALKS INC 
000F02	Digicube Technology Co., Ltd 
000F03	COMC CO., LTD 
000F04	cim-usa inc 
000F05	3B SYSTEM INC. 
000F06	Nortel Networks 
000F07	Mangrove Systems, Inc. 
000F08	Indagon Oy 
000F09	Private 
000F0A	Clear Edge Networks 
000F0B	Kentima Technologies AB 
000F0C	SYNCHRONIC ENGINEERING 
000F0D	Hunt Electronic Co., Ltd. 
000F0E	WaveSplitter Technologies, Inc. 
000F0F	Real ID Technology Co., Ltd. 
000F10	RDM Corporation 
000F11	Prodrive B.V. 
000F12	Panasonic Europe Ltd. 
000F13	Nisca corporation 
000F14	Mindray Co., Ltd. 
000F15	Kjaerulff1 AS 
000F16	JAY HOW TECHNOLOGY CO., 
000F17	Insta Elektro GmbH 
000F18	Industrial Control Systems 
000F19	Boston Scientific 
000F1A	Gaming Support B.V. 
000F1B	Ego Systems Inc. 
000F1C	DigitAll World Co., Ltd 
000F1D	Cosmo Techs Co., Ltd. 
000F1E	Chengdu KT Electric Co.of High  New Technology 
000F1F	Dell Inc. 
000F20	Hewlett Packard 
000F21	Scientific Atlanta, Inc 
000F22	Helius, Inc. 
000F23	Cisco Systems, Inc 
000F24	Cisco Systems, Inc 
000F25	AimValley B.V. 
000F26	WorldAccxx  LLC 
000F27	TEAL Electronics, Inc. 
000F28	Itronix Corporation 
000F29	Augmentix Corporation 
000F2A	Cableware Electronics 
000F2B	GREENBELL SYSTEMS 
000F2C	Uplogix, Inc. 
000F2D	CHUNG-HSIN ELECTRIC  MACHINERY MFG.CORP. 
000F2E	Megapower International Corp. 
000F2F	W-LINX TECHNOLOGY CO., LTD. 
000F30	Raza Microelectronics Inc 
000F31	Allied Vision Technologies Canada Inc 
000F32	Lootom Telcovideo Network Wuxi Co Ltd 
000F33	DUALi Inc. 
000F34	Cisco Systems, Inc 
000F35	Cisco Systems, Inc 
000F36	Accurate Techhnologies, Inc. 
000F37	Xambala Incorporated 
000F38	Netstar 
000F39	IRIS SENSORS 
000F3A	HISHARP 
000F3B	Fuji System Machines Co., Ltd. 
000F3C	Endeleo Limited 
000F3D	D-Link Corporation 
000F3E	CardioNet, Inc 
000F3F	Big Bear Networks 
000F40	Optical Internetworking Forum 
000F41	Zipher Ltd 
000F42	Xalyo Systems 
000F43	Wasabi Systems Inc. 
000F44	Tivella Inc. 
000F45	Stretch, Inc. 
000F46	SINAR AG 
000F47	ROBOX SPA 
000F48	Polypix Inc. 
000F49	Northover Solutions Limited 
000F4A	Kyushu-kyohan co.,ltd 
000F4B	Oracle Corporation 
000F4C	Elextech INC 
000F4D	TalkSwitch 
000F4E	Cellink 
000F4F	Cadmus Technology Ltd 
000F50	StreamScale Limited 
000F51	Azul Systems, Inc. 
000F52	YORK Refrigeration, Marine  Controls 
000F53	Solarflare Communications Inc 
000F54	Entrelogic Corporation 
000F55	Datawire Communication Networks Inc. 
000F56	Continuum Photonics Inc 
000F57	CABLELOGIC Co., Ltd. 
000F58	Adder Technology Limited 
000F59	Phonak Communications AG 
000F5A	Peribit Networks 
000F5B	Delta Information Systems, Inc. 
000F5C	Day One Digital Media Limited 
000F5D	Genexis BV 
000F5E	Veo 
000F5F	Nicety Technologies Inc. (NTS) 
000F60	Lifetron Co.,Ltd 
000F61	Hewlett Packard 
000F62	Alcatel Bell Space N.V. 
000F63	Obzerv Technologies 
000F64	DR Electronica Weesp BV 
000F65	icube Corp. 
000F66	Cisco-Linksys, LLC 
000F67	West Instruments 
000F68	Vavic Network Technology, Inc. 
000F69	SEW Eurodrive GmbH  Co. KG 
000F6A	Nortel Networks 
000F6B	GateWare Communications GmbH 
000F6C	ADDI-DATA GmbH 
000F6D	Midas Engineering 
000F6E	BBox 
000F6F	FTA Communication Technologies 
000F70	Wintec Industries, inc. 
000F71	Sanmei Electronics Co.,Ltd 
000F72	Sandburst 
000F73	RS Automation Co., Ltd 
000F74	Qamcom Technology AB 
000F75	First Silicon Solutions 
000F76	Digital Keystone, Inc. 
000F77	DENTUM CO.,LTD 
000F78	Datacap Systems Inc 
000F79	Bluetooth Interest Group Inc. 
000F7A	BeiJing NuQX Technology CO.,LTD 
000F7B	Arce Sistemas, S.A. 
000F7C	ACTi Corporation 
000F7D	Xirrus 
000F7E	Ablerex Electronics Co., LTD 
000F7F	UBSTORAGE Co.,Ltd. 
000F80	Trinity Security Systems,Inc. 
000F81	PAL Pacific Inc. 
000F82	Mortara Instrument, Inc. 
000F83	Brainium Technologies Inc. 
000F84	Astute Networks, Inc. 
000F85	ADDO-Japan Corporation 
000F86	BlackBerry RTS 
000F87	Maxcess International 
000F88	AMETEK, Inc. 
000F89	Winnertec System Co., Ltd. 
000F8A	WideView 
000F8B	Orion MultiSystems Inc 
000F8C	Gigawavetech Pte Ltd 
000F8D	FAST TV-Server AG 
000F8E	DONGYANG TELECOM CO.,LTD. 
000F8F	Cisco Systems, Inc 
000F90	Cisco Systems, Inc 
000F91	Aerotelecom Co.,Ltd. 
000F92	Microhard Systems Inc. 
000F93	LandisGyr Ltd. 
000F94	Genexis BV 
000F95	ELECOM Co.,LTD Laneed Division 
000F96	Telco Systems, Inc. 
000F97	Avanex Corporation 
000F98	Avamax Co. Ltd. 
000F99	APAC opto Electronics Inc. 
000F9A	Synchrony, Inc. 
000F9B	Ross Video Limited 
000F9C	Panduit Corp 
000F9D	DisplayLink (UK) Ltd 
000F9E	Murrelektronik GmbH 
000F9F	ARRIS Group, Inc. 
000FA0	CANON KOREA BUSINESS SOLUTIONS INC. 
000FA1	Gigabit Systems Inc. 
000FA2	2xWireless 
000FA3	Alpha Networks Inc. 
000FA4	Sprecher Automation GmbH 
000FA5	BWA Technology GmbH 
000FA6	S2 Security Corporation 
000FA7	Raptor Networks Technology 
000FA8	Photometrics, Inc. 
000FA9	PC Fabrik 
000FAA	Nexus Technologies 
000FAB	Kyushu Electronics Systems Inc. 
000FAC	IEEE 802.11 
000FAD	FMN communications GmbH 
000FAE	E2O Communications 
000FAF	Dialog Inc. 
000FB0	COMPAL ELECTRONICS, INC. 
000FB1	Cognio Inc. 
000FB2	Broadband Pacenet (India) Pvt. Ltd. 
000FB3	Actiontec Electronics, Inc 
000FB4	Timespace Technology 
000FB5	NETGEAR 
000FB6	Europlex Technologies 
000FB7	Cavium 
000FB8	CallURL Inc. 
000FB9	Adaptive Instruments 
000FBA	Tevebox AB 
000FBB	Nokia Siemens Networks GmbH  Co. KG. 
000FBC	Onkey Technologies, Inc. 
000FBD	MRV Communications (Networks) LTD 
000FBE	e-wyou Inc. 
000FBF	DGT Sp. z o.o. 
000FC0	DELCOMp 
000FC1	WAVE Corporation 
000FC2	Uniwell Corporation 
000FC3	PalmPalm Technology, Inc. 
000FC4	NST co.,LTD. 
000FC5	KeyMed Ltd 
000FC6	Eurocom Industries AS 
000FC7	Dionica RD Ltd. 
000FC8	Chantry Networks 
000FC9	Allnet GmbH 
000FCA	A-JIN TECHLINE CO, LTD 
000FCB	3Com Ltd 
000FCC	ARRIS Group, Inc. 
000FCD	Nortel Networks 
000FCE	Kikusui Electronics Corp. 
000FCF	DataWind Research 
000FD0	ASTRI 
000FD1	Applied Wireless Identifications Group, Inc. 
000FD2	EWA Technologies, Inc. 
000FD3	Digium 
000FD4	Soundcraft 
000FD5	Schwechat - RISE 
000FD6	Sarotech Co., Ltd 
000FD7	Harman Music Group 
000FD8	Force, Inc. 
000FD9	FlexDSL Telecommunications AG 
000FDA	YAZAKI CORPORATION 
000FDB	Westell Technologies 
000FDC	Ueda Japan  Radio Co., Ltd. 
000FDD	SORDIN AB 
000FDE	Sony Mobile Communications AB 
000FDF	SOLOMON Technology Corp. 
000FE0	NComputing Co.,Ltd. 
000FE1	ID DIGITAL CORPORATION 
000FE2	Hangzhou H3C Technologies Co., Ltd. 
000FE3	Damm Cellular Systems AS 
000FE4	Pantech Co.,Ltd 
000FE5	MERCURY SECURITY CORPORATION 
000FE6	MBTech Systems, Inc. 
000FE7	Lutron Electronics Co., Inc. 
000FE8	Lobos, Inc. 
000FE9	GW TECHNOLOGIES CO.,LTD. 
000FEA	Giga-Byte Technology Co.,LTD. 
000FEB	Cylon Controls 
000FEC	ARKUS Inc. 
000FED	Anam Electronics Co., Ltd 
000FEE	XTec, Incorporated 
000FEF	Thales e-Transactions GmbH 
000FF0	Sunray Co. Ltd. 
000FF1	nex-G Systems Pte.Ltd 
000FF2	Loud Technologies Inc. 
000FF3	Jung Myoung CommunicationsTechnology 
000FF4	Guntermann  Drunck GmbH 
000FF5	GNS company 
000FF6	DARFON LIGHTING CORP 
000FF7	Cisco Systems, Inc 
000FF8	Cisco Systems, Inc 
000FF9	Valcretec, Inc. 
000FFA	Optinel Systems, Inc. 
000FFB	Nippon Denso Industry Co., Ltd. 
000FFC	Merit Li-Lin Ent. 
000FFD	Glorytek Network Inc. 
000FFE	G-PRO COMPUTER 
000FFF	Control4 
001000	CABLE TELEVISION LABORATORIES, INC. 
001001	Citel 
001002	ACTIA 
001003	IMATRON, INC. 
001004	THE BRANTLEY COILE COMPANY,INC 
001005	UEC COMMERCIAL 
001006	Thales Contact Solutions Ltd. 
001007	Cisco Systems, Inc 
001008	VIENNA SYSTEMS CORPORATION 
001009	HORO QUARTZ 
00100A	WILLIAMS COMMUNICATIONS GROUP 
00100B	Cisco Systems, Inc 
00100C	ITO CO., LTD. 
00100D	Cisco Systems, Inc 
00100E	MICRO LINEAR COPORATION 
00100F	INDUSTRIAL CPU SYSTEMS 
001010	INITIO CORPORATION 
001011	Cisco Systems, Inc 
001012	PROCESSOR SYSTEMS (I) PVT LTD 
001013	Kontron America, Inc. 
001014	Cisco Systems, Inc 
001015	OOmon Inc. 
001016	T.SQWARE 
001017	Bosch Access Systems GmbH 
001018	Broadcom 
001019	SIRONA DENTAL SYSTEMS GmbH  Co. KG 
00101A	PictureTel Corp. 
00101B	CORNET TECHNOLOGY, INC. 
00101C	OHM TECHNOLOGIES INTL, LLC 
00101D	WINBOND ELECTRONICS CORP. 
00101E	MATSUSHITA ELECTRONIC INSTRUMENTS CORP. 
00101F	Cisco Systems, Inc 
001020	Hand Held Products Inc 
001021	ENCANTO NETWORKS, INC. 
001022	SatCom Media Corporation 
001023	Network Equipment Technologies 
001024	NAGOYA ELECTRIC WORKS CO., LTD 
001025	Grayhill, Inc 
001026	ACCELERATED NETWORKS, INC. 
001027	L-3 COMMUNICATIONS EAST 
001028	COMPUTER TECHNICA, INC. 
001029	Cisco Systems, Inc 
00102A	ZF MICROSYSTEMS, INC. 
00102B	UMAX DATA SYSTEMS, INC. 
00102C	Lasat Networks AS 
00102D	HITACHI SOFTWARE ENGINEERING 
00102E	NETWORK SYSTEMS  TECHNOLOGIES PVT. LTD. 
00102F	Cisco Systems, Inc 
001030	EION Inc. 
001031	OBJECTIVE COMMUNICATIONS, INC. 
001032	ALTA TECHNOLOGY 
001033	ACCESSLAN COMMUNICATIONS, INC. 
001034	GNP Computers 
001035	Elitegroup Computer Systems Co.,Ltd. 
001036	INTER-TEL INTEGRATED SYSTEMS 
001037	CYQve Technology Co., Ltd. 
001038	MICRO RESEARCH INSTITUTE, INC. 
001039	Vectron Systems AG 
00103A	DIAMOND NETWORK TECH 
00103B	HIPPI NETWORKING FORUM 
00103C	IC ENSEMBLE, INC. 
00103D	PHASECOM, LTD. 
00103E	NETSCHOOLS CORPORATION 
00103F	TOLLGRADE COMMUNICATIONS, INC. 
001040	INTERMEC CORPORATION 
001041	BRISTOL BABCOCK, INC. 
001042	Alacritech, Inc. 
001043	A2 CORPORATION 
001044	InnoLabs Corporation 
001045	Nortel Networks 
001046	ALCORN MCBRIDE INC. 
001047	ECHO ELETRIC CO. LTD. 
001048	HTRC AUTOMATION, INC. 
001049	ShoreTel, Inc 
00104A	The Parvus Corporation 
00104B	3COM CORPORATION 
00104C	Teledyne LeCroy, Inc 
00104D	SURTEC INDUSTRIES, INC. 
00104E	CEOLOGIC 
00104F	Oracle Corporation 
001050	RION CO., LTD. 
001051	CMICRO CORPORATION 
001052	METTLER-TOLEDO (ALBSTADT) GMBH 
001053	COMPUTER TECHNOLOGY CORP. 
001054	Cisco Systems, Inc 
001055	FUJITSU MICROELECTRONICS, INC. 
001056	SODICK CO., LTD. 
001057	Rebel.com, Inc. 
001058	ArrowPoint Communications 
001059	DIABLO RESEARCH CO. LLC 
00105A	3COM CORPORATION 
00105B	NET INSIGHT AB 
00105C	QUANTUM DESIGNS (H.K.) LTD. 
00105D	Draeger Medical 
00105E	Spirent plc, Service Assurance Broadband 
00105F	ZODIAC DATA SYSTEMS 
001060	BILLIONTON SYSTEMS, INC. 
001061	HOSTLINK CORP. 
001062	NX SERVER, ILNC. 
001063	STARGUIDE DIGITAL NETWORKS 
001064	DNPG, LLC 
001065	RADYNE CORPORATION 
001066	ADVANCED CONTROL SYSTEMS, INC. 
001067	Ericsson 
001068	COMOS TELECOM 
001069	HELIOSS COMMUNICATIONS, INC. 
00106A	DIGITAL MICROWAVE CORPORATION 
00106B	SONUS NETWORKS, INC. 
00106C	EDNT GmbH 
00106D	Axxcelera Broadband Wireless 
00106E	TADIRAN COM. LTD. 
00106F	TRENTON TECHNOLOGY INC. 
001070	CARADON TREND LTD. 
001071	ADVANET INC. 
001072	GVN TECHNOLOGIES, INC. 
001073	TECHNOBOX, INC. 
001074	ATEN INTERNATIONAL CO., LTD. 
001075	Segate Technology LLC 
001076	EUREM GmbH 
001077	SAF DRIVE SYSTEMS, LTD. 
001078	NUERA COMMUNICATIONS, INC. 
001079	Cisco Systems, Inc 
00107A	AmbiCom, Inc. 
00107B	Cisco Systems, Inc 
00107C	P-COM, INC. 
00107D	AURORA COMMUNICATIONS, LTD. 
00107E	BACHMANN ELECTRONIC GmbH 
00107F	CRESTRON ELECTRONICS, INC. 
001080	METAWAVE COMMUNICATIONS 
001081	DPS, INC. 
001082	JNA TELECOMMUNICATIONS LIMITED 
001083	Hewlett Packard 
001084	K-BOT COMMUNICATIONS 
001085	POLARIS COMMUNICATIONS, INC. 
001086	ATTO Technology, Inc. 
001087	Xstreamis PLC 
001088	AMERICAN NETWORKS INC. 
001089	WebSonic 
00108A	TeraLogic, Inc. 
00108B	LASERANIMATION SOLLINGER GMBH 
00108C	FUJITSU TELECOMMUNICATIONS EUROPE, LTD. 
00108D	Johnson Controls, Inc. 
00108E	HUGH SYMONS CONCEPT Technologies Ltd. 
00108F	RAPTOR SYSTEMS 
001090	CIMETRICS, INC. 
001091	NO WIRES NEEDED BV 
001092	NETCORE INC. 
001093	CMS COMPUTERS, LTD. 
001094	Performance Analysis Broadband, Spirent plc 
001095	Thomson Inc. 
001096	TRACEWELL SYSTEMS, INC. 
001097	WinNet Metropolitan Communications Systems, Inc. 
001098	STARNET TECHNOLOGIES, INC. 
001099	InnoMedia, Inc. 
00109A	NETLINE 
00109B	Emulex Corporation 
00109C	M-SYSTEM CO., LTD. 
00109D	CLARINET SYSTEMS, INC. 
00109E	AWARE, INC. 
00109F	PAVO, INC. 
0010A0	INNOVEX TECHNOLOGIES, INC. 
0010A1	KENDIN SEMICONDUCTOR, INC. 
0010A2	TNS 
0010A3	OMNITRONIX, INC. 
0010A4	XIRCOM 
0010A5	OXFORD INSTRUMENTS 
0010A6	Cisco Systems, Inc 
0010A7	UNEX TECHNOLOGY CORPORATION 
0010A8	RELIANCE COMPUTER CORP. 
0010A9	ADHOC TECHNOLOGIES 
0010AA	MEDIA4, INC. 
0010AB	KOITO ELECTRIC INDUSTRIES, LTD. 
0010AC	IMCI TECHNOLOGIES 
0010AD	SOFTRONICS USB, INC. 
0010AE	SHINKO ELECTRIC INDUSTRIES CO. 
0010AF	TAC SYSTEMS, INC. 
0010B0	MERIDIAN TECHNOLOGY CORP. 
0010B1	FOR-A CO., LTD. 
0010B2	COACTIVE AESTHETICS 
0010B3	NOKIA MULTIMEDIA TERMINALS 
0010B4	ATMOSPHERE NETWORKS 
0010B5	Accton Technology Corp 
0010B6	ENTRATA COMMUNICATIONS CORP. 
0010B7	COYOTE TECHNOLOGIES, LLC 
0010B8	ISHIGAKI COMPUTER SYSTEM CO. 
0010B9	MAXTOR CORP. 
0010BA	MARTINHO-DAVIS SYSTEMS, INC. 
0010BB	DATA  INFORMATION TECHNOLOGY 
0010BC	Aastra Telecom 
0010BD	THE TELECOMMUNICATION TECHNOLOGY COMMITTEE (TTC) 
0010BE	MARCH NETWORKS CORPORATION 
0010BF	InterAir Wireless 
0010C0	ARMA, Inc. 
0010C1	OI ELECTRIC CO., LTD. 
0010C2	WILLNET, INC. 
0010C3	CSI-CONTROL SYSTEMS 
0010C4	MEDIA GLOBAL LINKS CO., LTD. 
0010C5	PROTOCOL TECHNOLOGIES, INC. 
0010C6	Universal Global Scientific Industrial Co., Ltd. 
0010C7	DATA TRANSMISSION NETWORK 
0010C8	COMMUNICATIONS ELECTRONICS SECURITY GROUP 
0010C9	MITSUBISHI ELECTRONICS LOGISTIC SUPPORT CO. 
0010CA	Telco Systems, Inc. 
0010CB	FACIT K.K. 
0010CC	CLP COMPUTER LOGISTIK PLANUNG GmbH 
0010CD	INTERFACE CONCEPT 
0010CE	VOLAMP, LTD. 
0010CF	FIBERLANE COMMUNICATIONS 
0010D0	WITCOM, LTD. 
0010D1	Top Layer Networks, Inc. 
0010D2	NITTO TSUSHINKI CO., LTD 
0010D3	GRIPS ELECTRONIC GMBH 
0010D4	STORAGE COMPUTER CORPORATION 
0010D5	IMASDE CANARIAS, S.A. 
0010D6	Exelis 
0010D7	ARGOSY RESEARCH INC. 
0010D8	CALISTA 
0010D9	IBM JAPAN, FUJISAWA MTD 
0010DA	Kollmorgen Corp 
0010DB	Juniper Networks 
0010DC	MICRO-STAR INTERNATIONAL CO., LTD. 
0010DD	ENABLE SEMICONDUCTOR, INC. 
0010DE	INTERNATIONAL DATACASTING CORPORATION 
0010DF	RISE COMPUTER INC. 
0010E0	Oracle Corporation 
0010E1	S.I. TECH, INC. 
0010E2	ArrayComm, Inc. 
0010E3	Hewlett Packard 
0010E4	NSI CORPORATION 
0010E5	SOLECTRON TEXAS 
0010E6	APPLIED INTELLIGENT SYSTEMS, INC. 
0010E7	Breezecom, Ltd. 
0010E8	TELOCITY, INCORPORATED 
0010E9	RAIDTEC LTD. 
0010EA	ADEPT TECHNOLOGY 
0010EB	SELSIUS SYSTEMS, INC. 
0010EC	RPCG, LLC 
0010ED	SUNDANCE TECHNOLOGY, INC. 
0010EE	CTI PRODUCTS, INC. 
0010EF	DBTEL INCORPORATED 
0010F0	RITTAL-WERK RUDOLF LOH GmbH  Co. 
0010F1	I-O CORPORATION 
0010F2	ANTEC 
0010F3	Nexcom International Co., Ltd. 
0010F4	Vertical Communications 
0010F5	AMHERST SYSTEMS, INC. 
0010F6	Cisco Systems, Inc 
0010F7	IRIICHI TECHNOLOGIES Inc. 
0010F8	TEXIO TECHNOLOGY CORPORATION 
0010F9	UNIQUE SYSTEMS, INC. 
0010FA	Apple, Inc. 
0010FB	ZIDA TECHNOLOGIES LIMITED 
0010FC	BROADBAND NETWORKS, INC. 
0010FD	COCOM AS 
0010FE	DIGITAL EQUIPMENT CORPORATION 
0010FF	Cisco Systems, Inc 
001100	Schneider Electric 
001101	CET Technologies Pte Ltd 
001102	Aurora Multimedia Corp. 
001103	kawamura electric inc. 
001104	TELEXY 
001105	Sunplus Technology Co., Ltd. 
001106	Siemens NV (Belgium) 
001107	RGB Networks Inc. 
001108	Orbital Data Corporation 
001109	Micro-Star International 
00110A	Hewlett Packard 
00110B	Franklin Technology Systems 
00110C	Atmark Techno, Inc. 
00110D	SANBlaze Technology, Inc. 
00110E	Tsurusaki Sealand Transportation Co. Ltd. 
00110F	netplat,Inc. 
001110	Maxanna Technology Co., Ltd. 
001111	Intel Corporation 
001112	Honeywell CMSS 
001113	Fraunhofer FOKUS 
001114	EverFocus Electronics Corp. 
001115	EPIN Technologies, Inc. 
001116	COTEAU VERT CO., LTD. 
001117	CESNET 
001118	BLX IC Design Corp., Ltd. 
001119	Solteras, Inc. 
00111A	ARRIS Group, Inc. 
00111B	Targa Systems Div L-3 Communications Canada 
00111C	Pleora Technologies Inc. 
00111D	Hectrix Limited 
00111E	EPSG (Ethernet Powerlink Standardization Group) 
00111F	Doremi Labs, Inc. 
001120	Cisco Systems, Inc 
001121	Cisco Systems, Inc 
001122	CIMSYS Inc 
001123	Appointech, Inc. 
001124	Apple, Inc. 
001125	IBM Corp 
001126	Venstar Inc. 
001127	TASI, Inc 
001128	Streamit 
001129	Paradise Datacom Ltd. 
00112A	Niko NV 
00112B	NetModule AG 
00112C	IZT GmbH 
00112D	iPulse Systems 
00112E	CEICOM 
